date,name,text,comment_count,like_count,link
"Tuesday, 13 November 2018 at 1:18 pm",Kevin Marco Tanaya,,0,0,https://www.facebook.com/groups/1611813365545792/permalink/2045348328858958/
"Thursday, 8 November 2018 at 12:27 pm",,"Halo semuanya!
Summary: KBRI akan mengadakan acara perpisahan untuk para staff yang berakhir masa penugasannya pada tanggal 14 November, (Rabu minggu depan). Untuk kalian yang sudah selesai ujian, dateng yuk ke acara ini!
This event is not only great because of the free food that will be provided, but also to get to know the Indonesian diplomat community in Canberra!
Untuk informasi lebih lanjut, simak undangan dari KBRI berikut!
Kepada Yth:
Seluruh Masyarakat Indonesia di Canberra dan Sekitarnya
Perihal: Undangan Perpisahan Pejabat KBRI Canberra
Dengan berakhirnya masa penugasan Pejabat KBRI Canberra sebagai berikut:
1. Bapak Iwan Freddy Hari Susanto - Koordinator Fungsi Pensosbud
2. Bapak Hari Mulyanto - Atase Darat/Militer
3. Bapak Riva Yanto – Atase Udara
bersama ini dengan hormat kami mengundang kehadiran Bapak/Ibu beserta keluarga dalam acara perpisahan Pejabat KBRI Canberra yang akan diselenggarakan pada:
Hari / Tanggal : Rabu, 14 November 2018
Waktu : Pukul 18.30 - selesai
Tempat : Balai Kartini - KBRI Canberra
8 Darwin Avenue Yarralumla, ACT 2600.
Pakaian : Batik/Bebas Rapih
Demikian disampaikan, atas perhatian dan kehadiran Bapak/Ibu dan keluarga kami ucapkan terima kasih.
Canberra, 7 November 2018
Fungsi Pensosbud KBRI Canberra",0,1,https://www.facebook.com/groups/1611813365545792/permalink/2038686309525160/
"Thursday, 1 November 2018 at 2:54 pm",ANU Indonesian Students' Association,"Halo semua! 😃
Sign up now to join ANUISA 2019 by filling in the link below.
http://bit.ly/ANUISA2019Recruitment
You can see the roles and job description there :)
P.S Recruitment closes on Nov 20 -----
Thanks! 🙏🏽",0,3,https://www.facebook.com/groups/1611813365545792/permalink/2028072613919863/
"Monday, 29 October 2018 at 2:45 pm",,Barangkali ada teman-teman Australian yang sedang mengambil undergraduate program di ANU dan berminat ikut ambil bagian dalam Earthquake research project di Pulau Lombok... Entire cost of the trip will be covered. Mohon di share yah! Thank you!,0,2,https://www.facebook.com/groups/1611813365545792/permalink/2022846451109146/
"Thursday, 25 October 2018 at 1:04 pm",Razi Sugianto,"Halo semua,
Selamat kepada Adam, Natalia, dan Aldy yang telah terpilih menjadi eksekutif ANUISA 2019!
Mari kita sambut mereka dengan hangat. Semoga mereka dapat menjalankan tugas dengan baik di tahun depan!",0,12,https://www.facebook.com/groups/1611813365545792/permalink/2017100138350444/
"Sunday, 7 October 2018 at 8:31 pm",,"Halo semua,
Kalau kalian tertarik mempelajari tarian-tarian tradisional Indonesia, yuk gabung ke kelas yang dibawakan langsung oleh penari-penari yang tampil di Pasar senggol pelajar kemarin!
Indonesian dance classes akan mulai lagi hari Kamis, 11 October, jam 6.30-8.30pm. Kalau ada yg tertarik, baik laki-laki ataupun perempuan, silahkan datang. Harganya $7 per kelas dan diadakan setiap hari Kamis. Tempatnya di Playing Field Studio, 2 Kingsley Street, New Acton, di sebrang Toad Hall.
Informasi lebih lanjut dapat menghubungi Ifa di 0458 98 1235",0,5,https://www.facebook.com/groups/1611813365545792/permalink/1992956920764766/
"Friday, 5 October 2018 at 11:32 pm",Fika Ihsan,"Dear friends, I am raising funds to support the redevelopment of schools in Palu and Donggala. As you may know, these regions have been severely affected by a 7.5 magnitude earthquake and 6m tsunami. Any donations will be greatly appreciated.
For more information, follow the link below.",0,4,https://www.facebook.com/groups/1611813365545792/permalink/1990323477694777/
"Thursday, 4 October 2018 at 6:18 pm",Adam Ning,"Sore teman-teman,
Mari kita bersatu dalam doa dan solidaritas bagi saudara-saudara kita yang tertimpa musibah di Sulawesi esok hari di KBRI🙏",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1988662074527584/
"Monday, 1 October 2018 at 6:19 pm",Adam Ning,"Hey everyone!
To celebrate the 'National Batik Day', we encourage everyone to dress up with their best Batik/Kebaya to campus and show off your Indonesian pride! 🎉 To wrap up the day, we will be having a group photo session on campus 😍
Where — Pop Up, ANU (In front of Mikebabz)
When — 4 PM, 2 October 2018
See you tomorrow excited people! ;)",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1984520224941769/
"Monday, 24 September 2018 at 7:21 pm",Razi Sugianto,"Halo semua,
Ini nih kalau tertarik cara masak makanan australia, minggu ini di Burton n Garran Hall ada acara cooking night!
Kalau mau belajar masak atau cuma mau makan malam gratis, datang aja :D",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1976127839114341/
"Tuesday, 18 September 2018 at 4:22 pm",,"Halo teman-teman! 🙂
Kalau kalian free sore ini yuk join bareng ANUISA di BKSS sambil mencicipi ‘Ayam Gurih’ in our bonding sesh: ‘Chicken and Chill’. Re-connect, socialize and chill a bit as the study period kicks in!
❓Place ➖BKSS
❓Time ➖TODAY, 5-7 PM
See you guys later! 👋🏽",2,3,https://www.facebook.com/groups/1611813365545792/permalink/1968375099889615/
,,,0,0,
,,,0,0,
"Wednesday, 5 September 2018 at 4:29 pm",Adam Ning,"Hey everyone!
PPIA ACT, ANU ISA and UCISS proudly present ‘Pasar Senggol!’ 🎉 🎈 🎊.
🔸
An event which aims to personify the true taste and vibrant atmosphere of a real Indonesian Market. As the tagline goes, discover the unique and rich CULINARY, PERFORMANCES & CULTURE of 🇮🇩.
🔸
Remember the date. Get Hype. 🔜",2,1,https://www.facebook.com/groups/1611813365545792/permalink/1951865981540527/
,,,0,0,
,,,0,0,
"Friday, 24 August 2018 at 5:38 pm",Razi Sugianto,"Halo semua!
Yuk gabung nongkrong bareng kita di BKSS skrng.
PS: Free Pizza :))
facebook.com/events/252013198905463/",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1936082506452208/
"Saturday, 18 August 2018 at 5:12 pm",Razi Sugianto,"VOLUNTEERS WANTED!
Panitia Indonesia Update sedang mencari volunteer-volunteer yang bersedia membantu dalam keberlangsungan acara terbesar ANU Indonesia Project ini.
Bila tertarik menjadi volunteer, silahkan mengirim email kepada nurkemala.muliani@anu.edu.au",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1924964394230686/
"Friday, 17 August 2018 at 3:30 pm",Razi Sugianto,"Halo semua!
Kalau pada bosan sore ini, yuk nongkrong di BKSS jam 5:30",1,1,https://www.facebook.com/groups/1611813365545792/permalink/1922950657765393/
,,,0,0,
"Wednesday, 15 August 2018 at 3:55 pm",Razi Sugianto,"Halo semua,
Kalau kalian ingin bantu bule2 berbahasa Indonesia, yuk datang ke language exchange AIYA!",5,2,https://www.facebook.com/groups/1611813365545792/permalink/1919274101466382/
,,,0,0,
,,,0,0,
"Saturday, 14 July 2018 at 6:06 pm",Adam Ning,"Hai teman-teman!
Come over and join us for the ‘Snowy Mountain Trip’ hosted by PPIA. Tickets are selling fast and this is one event you surely will not want to miss. Find out more on the post below! 😃",0,4,https://www.facebook.com/groups/1611813365545792/permalink/1864216156972177/
"Saturday, 7 July 2018 at 6:45 pm",Razi Sugianto,"Halo semuanya,
Bagi kalian yang tertarik menjadi mentor dalam program Kakak Asuh ANUISA, segera daftarkan diri di link berikut:
bit.ly/KakakAsuhANU
Bila kalian ada pertanyaan mengenai program ini bisa langsung ditanya di komen di bawah post ini atau menghubung contact person kita yang tertera di post dibawah.",5,2,https://www.facebook.com/groups/1611813365545792/permalink/1852633904797069/
,,,0,0,
,,,0,0,
"Thursday, 21 June 2018 at 7:58 pm",Kevin Marco Tanaya,Anyone interested?,0,1,https://www.facebook.com/groups/1611813365545792/permalink/1826964880697305/
"Saturday, 16 June 2018 at 4:14 pm",ANU Indonesian Students' Association,"Hai semuanya
Dalam rangka mengapresiasi seluruh mahasiswa-mahasiswi Indonesia yang lulus pada semester ini, kami selaku pengurus ANUISA, UCISS & PPIAACT mengadakan acara 'Farewell Party'. Kami mengundang anda untuk menghadiri dan memeriahkan event ini.
Tempat: China In The World - Lecture Theatre
Tanggal: Kamis, 21 Juni 2018
Jam: 4:30 PM - 9:30 PM
Silahkan mendaftarkan diri lewat googleform ini. (Terutama bagi para mahasiswa-mahasiswi yang lulus) 👇
https://goo.gl/forms/f6LZe78oyuc4rbIA3
Kami sangat mengharapkan kehadiran daripada saudara semua.
Terima kasih ☺🙏",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1818985008161959/
"Saturday, 9 June 2018 at 12:26 pm",ANU Indonesian Students' Association,"Hai teman-teman semuanya,
Hari Selasa tanggal 12 minggu depan akan ada movie screening film berjudul 'The Staging Post'. Berkisah tentang dua 'refugees' yang diblokir masuk Australia, namun mereka mengembangkan suatu komunitas dan sekolah bagi pengungsi-pengungsi lainnya.
Kalian bisa register melalui link bawah ini!
https://www.eventbrite.com.au/e/film-screening-fundraiser-t…",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1810002972393496/
"Thursday, 7 June 2018 at 2:51 pm",Razi Sugianto,"*Summary: Undangan ke Wisma Atdikbud, kumpul jam 14:30 di Toad Hall*
Halo semua,
Besok Pak Atdikbud kita, Pak Imran Hanafi mengundang seluruh mahasiswa-mahasiswi Indonesia di Canberra untuk berbuka puasa bersama dan beramah tamah di Wisma Atdikbud.
Bila kalian ingin berangkat bareng pengurus ANUISA dan teman-teman mahasiswa lainnya, kita akan kumpul di depan toad hall terlebih dahulu sekitar jam 14:30.
Terima Kasih",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1807862132607580/
"Saturday, 2 June 2018 at 6:40 pm",Razi Sugianto,Besok akan ada penampilan dari seniman Indonesia Dadang Christanto di National Portrait Gallery,0,3,https://www.facebook.com/groups/1611813365545792/permalink/1802549616472165/
"Tuesday, 22 May 2018 at 11:07 pm",ANU Indonesian Students' Association,"Come and join this event guys!
Ini kesempatan yang bagus banget buat kamu untuk memperluas jaringan koneksi antar mahasiswa dan para profesional di Canberra.
What's more awesome is that PPIA members get a $10 DISCOUNT! The code for this is BalaiKartini.
See you there!!!",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1791010734292720/
"Sunday, 20 May 2018 at 4:33 pm",ANU Indonesian Students' Association,,0,0,https://www.facebook.com/groups/1611813365545792/permalink/1788622831198177/
"Sunday, 20 May 2018 at 4:32 pm",ANU Indonesian Students' Association,,0,0,https://www.facebook.com/groups/1611813365545792/permalink/1788622564531537/
"Monday, 14 May 2018 at 4:23 pm",,"Hello everyone. In regards to the recent terrorist attacks in Surabaya and further threats of terrorism in Jakarta, East Java, and East Java, the Indonesian community in Canberra has decided to take action and evaluate the situation. Please read the message below.
Sahabat-sahabat warga Indonesia di Canberra,
Kejadian demi kejadian aksi terorisme di tanah air telah mengoyak rasa keadilan dan perikemanusiaan kita, khususnya perilaku instrumentalisasi perempuan & anak-anak tak berdosa sebagai alat.
Untuk menyatakan sikap atas peristiwa tersebut dan menggelorakan semangat #IndonesiaTidakTakut sebagai dukungan bagi pemerintah (dan seluruh masyarakat) dalam melawan terorisme dan radikalisme di Indonesia, kami atas nama sebagian warga Indonesia di Canberra mengajak Bapak/Ibu/Sdr/i untuk melakukan aksi #IndonesiaTidakTakut pada:
Selasa, 15 Mei 2018;
5-6.30pm
Queen Elizabeth Terrace, Canberra
Kegiatan:
- diskusi/refleksi
- pembacaan pernyataan sikap
- doa bersama
Pernyataan sikap yang akan dibacakan kurang lebih berisi:
1. Mengutuk aksi kekerasan
2. Mendukung langkah cepat dan tegas pemerintah
3. Himbauan pada semua pihak untuk berkontribusi mencegah peristiwa yang sama terulang ke depan
Ditunggu kehadirannya pada acara diatas, demi Indonesia yang aman dan damai 🇮🇩
Catatan:
- peserta yang berkenan memegang lilin dipersilahkan membawa lilin, yang tidak berkenan tidak perlu memegang atau membawa lilin
- pakaian hangat
- akan ada penggalangan dana bagi yang berkenan menyumbang
- membawa tulisan pernyataan sikap utk dipegang, seperti: #IndonesiaTidakTakut #KamiBersamaPemerintah
#TolakTerorisme dll
We hope to see you there.",0,6,https://www.facebook.com/groups/1611813365545792/permalink/1782703241790136/
"Monday, 14 May 2018 at 9:49 am",,"Hai semua!
Jangan lupa mendaftarkan diri untuk Pemilu Luar Negari 2019. Untuk mendaftarkan diri cukup siapin nomor passpor dan kontak kak Ridho di + ‭+62 812 84859550‬ (WA only).",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1782462398480887/
"Saturday, 12 May 2018 at 7:58 pm",ANU Indonesian Students' Association,"Hai semuanya!
Menarik banget nih guys, AIYA bikin movie screening film 'Banda'. Menceritakan bagaimana kekayaan pulau Banda memikat penjajah dan pedagang untuk datang kesana.
Click the event page for more info!",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1780672418659885/
"Wednesday, 9 May 2018 at 1:17 pm",Leopold Sudaryono,Buat yg kebetulan sore ini kosong dan butuh sesuatu yg depressing..mari bergabung,0,0,https://www.facebook.com/groups/1611813365545792/permalink/1777538862306574/
"Wednesday, 9 May 2018 at 12:19 pm",Kevin Marco Tanaya,"Hai semua, ayo bantu selamatkan program Bahasa Indonesia di USC!
(Maaf tadi linknya ketinggalan)",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1777489755644818/
"Sunday, 6 May 2018 at 9:36 pm",Kevin Marco Tanaya,"In light of the recent Woroni article detailing unfair wage practices, it is important, even more so for Int. Students, that we know our work rights.
Check this link out guys and gals!",0,3,https://www.facebook.com/groups/1611813365545792/permalink/1774888355904958/
"Friday, 4 May 2018 at 5:06 pm",Razi Sugianto,"Halo semua!
Ayo ramaikan Acara Quiz Night kita hari Senin ini! Di acara ini kalian bakal bersaing dengan tim-tim lain untuk menjawab kuis-kuis menarik dan games-games seru!
Ajak teman-temanmu dan bikin timmu segera! Kalau belum ada tim-pun, daftar aja langsung :)
bit.ly/quiznight2018
Info lebih lanjut:
https://www.facebook.com/events/1975353066058786/",0,2,https://www.facebook.com/groups/1611813365545792/permalink/1772689256124868/
"Thursday, 26 April 2018 at 10:35 pm",ANU Indonesian Students' Association,Come to this fun Friday afternoon event where you can learn Indonesian language in a fun way with free food!,0,0,https://www.facebook.com/groups/1611813365545792/permalink/1764273256966468/
"Thursday, 26 April 2018 at 5:12 pm",Sekar Aji,"Sore semua! Hari ini kita jual ayam kremes, bakso malang, dan tahu isi at SSA Night Market. Come by to our stall to cure your homesickness a little by having delicious mouth-watering meal! Yumm 😋",0,2,https://www.facebook.com/groups/1611813365545792/permalink/1764066673653793/
"Tuesday, 24 April 2018 at 11:53 pm",,"Malam teman-teman, ada info nih dari KBRI tentang pemilu 2019....
""Yth. Masyarakat Indonesia calon Pemilih pada Pemilu 2019
di ACT dan sekitarnya
Sehubungan dengan penyelenggaraan Pemilu 2019 di Luar Negeri, bersama ini Panitia Pemilihan Luar Negeri (PPLN) Canberra mengundang Bapak/Ibu untuk menghadiri Sosialisasi Pemilu 2019 pada:
Senin, 30 April 2018, pkl 18.00 (diawali makan malam), di Balai Kartini KBRI Canberra
Dress code: Bebas Rapih
Demikian disampaikan, atas perhatian dan kehadiran Bapak/Ibu diucapkan terima kasih
Salam hormat
A.n. Ketua PPLN Canberra""",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1762261670500960/
"Sunday, 22 April 2018 at 9:39 pm",,"Halo semua!
Woroni bakal buat a pull-out section di edisi berikutnya. Kalo ada yang berniat kontribusi atau kenal orang yang mungkin berniat, langsung japri aja ya !",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1760180737375720/
"Saturday, 21 April 2018 at 3:10 pm",ANU Indonesian Students' Association,"Halo semua!
Miss Indonesian Food? Or just too lazy to cook? We're here to provide!
We're selling some delicious homemade Ayam Geprek!
Nasi Uduk dengan Ayam Geprek - $9
Aromatic Coconut Rice served with Crispy Fried Chicken smashed and infused with Spicy Sambal Sauce
If that description already watered your mouth, then pre-order now!
You'll be able to pick it up at ANU (Brian Kenyon Student Space) from 9am on Tuesday, 24 April 2018.
You can pay when you pick up your order either through cash or bank transfer. Bank transfer details will be provided at the pick up point.
Follow this link to pre-order now!
bit.ly/geprekanuisa",0,2,https://www.facebook.com/groups/1611813365545792/permalink/1758952340831893/
"Thursday, 19 April 2018 at 11:49 pm",ANU Indonesian Students' Association,"Yooo apa kabar teman-teman semuanya!!!
Bulan depan kami, ANU ISA, bakal ngadain event seru banget nih namanya 'QUIZ NIGHT'! There will be TONS of fun games & activities, LOTS of opportunities to mingle with friends, and of course, MAKANAN GRATIS cuyy!
JADI TUNGGU APALAGI?! AJAK TEMEN2 KAMU (Non-members welcomed) AND REGISTER NOW in this link!
https://goo.gl/forms/U6QmV58ppauqdzyX2
CLICK ME FOR MORE DETAILS ⬇️⬇️⬇️",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1757174887676305/
"Tuesday, 17 April 2018 at 4:01 pm",ANU Indonesian Students' Association,"Hey guys! Looking for something fun to do this Sunday?
Hari minggu ini AIYA ada acara “Bush BBQ” dimana mereka akan ngadain Australian-themed barbeque. Bagi kalian yang mau ngerasain makanan khas Australia atau mau integrate yourselves in Australian culture, this is a good opportunity for you!
P.S: Venue nya dibelakang War Memorial lagi, so it can be a good adventure on a Sunday 🙂
https://www.facebook.com/events/943781829134193??ti=ia",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1754841501242977/
"Monday, 16 April 2018 at 12:16 pm",Razi Sugianto,"Kepada Yth:
Seluruh Masyarakat dan Diaspora Indonesia di Canberra dan sekitarnya
Perihal: Undangan Pisah Sambut Pejabat KBRI Canberra
Dengan akan berakhirnya masa penugasan Bapak Berlian Helmy, Koordinator Fungsi Politik dan Bapak Suhasna A. Sanusi, Kepala Unit Komunikasi serta dimulainya masa penugasan Bapak M. Zakaria Al Anshori, Koordinator Fungsi Ekonomi dan Ibu Novaliana Tambunan, Sekretaris Pertama Fungsi Pensosbud, bersama ini dengan hormat kami mengundang Bapak dan Ibu beserta keluarga untuk menghadiri acara perpisahan dan perkenalan dimaksud yang akan diselenggarakan pada:
Hari / Tanggal : Jumat, 20 April 2018
Waktu : 18.30 - Selesai
Tempat : Balai Kartini - KBRI Canberra
8 Darwin Avenue Yarralumla, ACT 2600.
Pakaian : Bebas Rapi/Batik
Demikian disampaikan, atas perhatian dan kehadiran Bapak/Ibu dan keluarga kami ucapkan terima kasih.
Fungsi Pensosbud KBRI Canberra",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1753711374689323/
"Wednesday, 11 April 2018 at 6:05 pm",ANU Indonesian Students' Association,"Halo semua!
If you guys have any feedback or suggestions for us, please fill in the form below!
Feedback is very important for us to help us continuously improve and represent your interests better. We appreciate any and all feedback of any nature 😁
Help us improve our club:
bit.ly/anuisafeedback",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1748790885181372/
"Tuesday, 3 April 2018 at 10:33 am",ANU Indonesian Students' Association,"Halo Pelajar Indonesia di ANU!
Ingin ketahui lebih dalam tentang riset-riset mahasiswa kita? Apakah dampak riset-riset ini ke Indonesia dan Dunia?
Indonesia Roundtable discussion tahun ini bertema: ""Impactful Research"". Disini akan dibahas riset-riset mahasiswa Indonesia di Canberra - dari Ekonomi, Politik, Budaya dan Sains. Jangan sampai terlewat!",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1739948086065652/
"Wednesday, 28 March 2018 at 1:53 pm",ANU Indonesian Students' Association,"Selamat siang para pelajar Indonesia di Canberra!
We have exciting news. ANU ISA members get a $20 off of programmes conducted by Blended Learning International, including the upcoming ""Communication Workshop"". Good communication skills are necessary for networking and in getting a career. For more information, please contact info@blendedlearning.edu.au
:)",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1733456890048105/
"Wednesday, 28 March 2018 at 10:20 am",ANU Indonesian Students' Association,"Selamat pagi para pelajar Indonesia di Canberra!
The Canberra Multicultural Women's Forum - CMWF is conducting a consultation session to provide the ACT Government with advice about best practice methods for consulting with women from multicultural backgrounds. As part of these consultations, they want to speak with women from the Indonesian community living in Canberra.
The consultation will take place on the 7th of April from 10am-12pm in a location in the city. If you are an Indonesian woman and are interested, please e-mail to ppia.anu@gmail.com or anu@ppia-australia.org as soon as possible.
Thank you!",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1733313163395811/
"Friday, 9 March 2018 at 6:03 pm",Razi Sugianto,"Interested in photography? Keen to know how to capture instagrammable picture?
PPIA-ACT proudly presents ""The Clubs"" on photography!
Come and join us to have fun on a Saturday night! Let's take a picture and learn about photography with our special guests. Do not have a camera? Just bring your phone and you're good to go!
The Clubs is a program established by PPIA ACT to accommodate Indonesian students' interest in their hobbies.
Brace yourself for upcoming activities which involve cooking, fashion and make-up! See you there!
#theclubs #capturecanberra",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1712301085497019/
"Tuesday, 27 February 2018 at 3:13 pm",ANU Indonesian Students' Association,"Halo Teman-Teman!
Kami dari ANUISA mengajak kalian semua untuk datang ke event 'ANUISA's 2018 Welcoming Party!' 🎊🎊
Ini bakalan jadi momen yang ideal banget buat kamu untuk lebih mengenal komunitas pelajar Indonesia di ANU sambil makan-makan dan nikmatin live performances dan games dari kita!
WE'LL SEE YOU TOMORROW! 😁
**For event details ⤵️",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1701445146582613/
"Monday, 5 February 2018 at 3:24 pm",ANU Indonesian Students' Association,"Halo semua!
Ada kesempatan menarik untuk kalian yang sedang studi di CBE:
AccountantChange is an exclusive training seminar for Students majoring in Finance, Accounting, & Business Information System.
AccountantChange Quarter 1 2018 is now open for registration. We are thrilled to bring new accounting software training, cashflow modelling, and project cost management workshops to your Students members.
7 hours of CPD will be awarded to each attendee for their CPA programs. It is highly relevant to their Accounting/Finance career development.
Use the promotion code ""AC Q1 2018"" free entry tickets. For more information check out the eventbrite link below:
eventbrite.com.au/e/accountantchange-seminar-quarter-1-2018…",0,1,https://www.facebook.com/groups/1611813365545792/permalink/1678613685532426/
"Monday, 5 February 2018 at 3:06 pm",ANU Indonesian Students' Association,,0,0,https://www.facebook.com/groups/1611813365545792/permalink/1678602255533569/
"Wednesday, 24 January 2018 at 4:34 pm",ANU Indonesian Students' Association,,0,0,https://www.facebook.com/groups/1611813365545792/permalink/1666179450109183/
"Wednesday, 24 January 2018 at 4:15 pm",ANU Indonesian Students' Association,"Belajar di Australian National University?
Ini adalah Facebook Group resmi dari Perhimpunan Pelajar Indonesia di Australian National University (PPIA ANU / ANUISA).
Grup ini ditujukan untuk sarana pembagian informasi antara komunitas pelajar Indonesia di ANU. Anda dipersilakan memposting informasi seperti pertanyaan, aktivitas-aktivitas, penjualan barang ataupun hal-hal lain yang bersangkut paut dengan komunitas pelajar Indonesia di ANU.
Bergabunglah dengan group ini untuk mendapatkan informasi terkini dari PPIA ANU dan komunitas-komunitas lainnya.
Ingin menyampaikan pesan secara anonim? Klik link berikut:
goo.gl/forms/yj6SwH7tOCVPxg432
Grup ini di moderasi dengan ringan. Post yang tidak layak akan dihapus.
Bila ada saran, keluhan atau pujian dapat disampaikan ke Admin grup.",0,0,https://www.facebook.com/groups/1611813365545792/permalink/1666165640110564/
"Friday, 1 December 2017 at 2:43 pm",ANU Indonesian Students' Association,,0,0,https://www.facebook.com/groups/1611813365545792/permalink/1611813368879125/
